date, pm25, pm10, o3, no2, so2, co
2024/7/8, 11, 8, 9, 4, , 
2024/7/9, 14, 9, 8, 4, , 
2024/7/10, 15, 8, 8, 4, , 
2024/7/11, 21, 16, 9, 3, , 
2024/7/12, 38, 11, 10, 3, , 
2024/7/13, 27, 6, 10, 3, , 
2024/7/14, 16, 7, 9, 4, , 
2024/7/15, 17, 10, 10, 5, , 
2024/7/16, 19, 11, 9, 6, , 
2024/7/17, 26, 4, 9, 4, , 
2024/7/18, 8, 5, 7, 4, , 
2024/7/19, 9, 6, 7, 4, , 
2024/7/20, 16, 5, 10, 4, , 
2024/7/21, 8, 11, 10, 4, , 
2024/7/22, 18, 8, 9, 4, , 
2024/7/23, 17, 3, 8, 4, , 
2024/7/24, 6, 6, 8, 4, , 
2024/7/25, 14, 8, 9, 4, , 
2024/7/26, 18, 6, 9, 4, , 
2024/7/27, 14, 8, 11, 3, , 
2024/7/28, 17, 6, 9, 3, , 
2024/7/29, 10, 7, 10, 4, , 
2024/7/30, 13, 12, 9, 3, , 
2024/7/31, 19, 10, 7, 4, , 
2024/8/1, 21, 12, 12, 4, , 
2024/8/2, 24, 12, 11, 4, , 
2024/8/3, 18, 8, 11, 3, , 
2024/8/4, 12, 8, 8, 4, , 
2024/8/5, 9, 5, 8, 5, , 
2024/8/6, 10, 7, 8, 5, , 
2024/8/7, 16, 8, 7, 4, , 
2024/8/8, 19, 5, 8, 4, , 
2024/8/9, 8, 4, 11, 4, , 
2024/8/10, 6, 4, 9, 4, , 
2024/8/11, 7, 5, 8, 5, , 
2024/8/12, 9, 5, 9, 4, , 
2024/8/13, 8, 5, 10, 4, , 
2024/8/14, 8, 8, 9, 4, , 
2024/8/15, 15, 4, 10, 5, , 
2024/8/16, 7, 3, 8, 4, , 
2024/8/17, 4, 2, 9, 4, , 
2024/8/18, 3, 5, 10, 5, , 
2024/8/19, 5, 5, 10, 5, , 
2024/8/20, 7, 4, 10, 3, , 
2024/8/21, 6, 5, 10, 4, , 
2024/8/22, 8, 7, 11, 4, , 
2024/8/23, 12, 4, 10, 3, , 
2024/8/24, 5, 3, 10, 4, , 
2024/8/25, 5, 7, 8, 5, , 
2024/8/26, 15, 20, 7, 5, , 
2024/8/27, 57, 11, 9, 5, , 
2024/8/28, 32, 7, 10, 4, , 
2024/8/29, 18, 20, 9, 4, , 
2024/8/30, 50, 2, 9, 4, , 
2024/8/31, 3, 11, 11, 4, , 
2024/9/1, 24, 16, 11, 5, , 
2024/9/2, 36, 14, 12, 4, , 
2024/9/3, 29, 4, 9, 4, , 
2024/9/4, 11, 14, 10, 4, , 
2024/9/5, 28, 16, 9, 4, , 
2024/9/6, 30, 15, 9, 4, , 
2024/9/7, 32, 12, 9, 4, , 
2024/9/8, 22, 6, 12, 5, , 
2024/9/9, 11, 8, 12, 3, , 
2024/9/10, 14, 8, 11, 4, , 
2024/9/11, 12, 6, 12, 5, , 
2024/9/12, 10, 8, 11, 5, , 
2024/9/13, 13, 10, 12, 6, , 
2024/9/14, 12, 5, 12, 5, , 
2024/9/15, 9, 11, 10, 3, , 
2024/9/16, 12, 11, 10, 5, , 
2024/9/17, 21, 4, 12, 4, , 
2024/9/18, 6, 8, 12, 7, , 
2024/9/19, 13, 12, 9, 5, , 
2024/9/20, 19, 9, 9, 3, , 
2024/9/21, 15, 6, 4, 4, , 
2024/9/22, 12, 7, , 5, , 
2024/9/23, 10, 7, , 5, , 
2024/9/24, 15, 6, , 5, , 
2024/9/25, 8, 6, , 5, , 
2024/9/26, 8, 7, , 6, , 
2024/9/27, 8, 3, , 2, , 
2024/9/28, 5, 2, , 4, , 
2024/9/29, 3, 4, , 5, , 
2024/9/30, 5, 8, , 6, , 
2024/4/1, 12, 9, , 4, , 
2024/4/2, 11, 28, , 5, , 
2024/4/3, 28, 10, , 3, , 
2024/4/4, 20, 8, , 4, , 
2024/4/5, 12, 7, , 4, , 
2024/4/6, 10, 9, , 4, , 
2024/4/7, 14, 12, , 4, , 
2024/4/8, 17, 15, , 6, , 
2024/4/9, 15, 12, , 4, , 
2024/4/10, 16, 6, 13, 5, , 
2024/4/11, 6, 5, 14, 4, , 
2024/4/12, 6, 12, 15, 4, , 
2024/4/13, 17, 6, 14, 3, , 
2024/4/14, 9, 13, 15, 4, , 
2024/4/15, 19, 12, 14, 4, , 
2024/4/16, 14, 4, 13, 4, , 
2024/4/17, 8, 9, 13, 5, , 
2024/4/18, 14, 8, 13, 4, , 
2024/4/19, 9, 3, 16, 4, , 
2024/4/20, 6, 22, 16, 4, , 
2024/4/21, 34, 24, 14, 5, , 
2024/4/22, 35, 33, 9, 7, , 
2024/4/23, 41, 21, 15, 6, , 
2024/4/24, 26, 13, 14, 4, , 
2024/4/25, 25, 11, 15, 4, , 
2024/4/26, 13, 5, 14, 4, , 
2024/4/27, 6, 6, 15, 3, , 
2024/4/28, 7, 11, 14, 4, , 
2024/4/29, 15, 7, 14, 4, , 
2024/4/30, 11, 8, 15, 4, , 
2024/5/1, 12, 6, 13, 5, , 
2024/5/2, 9, 6, 13, 5, , 
2024/5/3, 10, 9, 15, 4, , 
2024/5/4, 14, 8, 15, 4, , 
2024/5/5, 13, 7, 13, 4, , 
2024/5/6, 11, 6, 12, 4, , 
2024/5/7, 11, 6, 14, 4, , 
2024/5/8, 10, 6, 14, 4, , 
2024/5/9, 9, 5, 12, 3, , 
2024/5/10, 7, 6, 12, 3, , 
2024/5/11, 12, 2, 12, 3, , 
2024/5/12, 4, 6, 10, 4, , 
2024/5/13, 7, 5, 13, 4, , 
2024/5/14, 6, 7, 13, 4, , 
2024/5/15, 8, 10, 15, 4, , 
2024/5/16, 15, 13, 13, 4, , 
2024/5/17, 20, 6, 13, 4, , 
2024/5/18, 9, 3, 12, 3, , 
2024/5/19, 4, 8, 12, 3, , 
2024/5/20, 12, 11, 11, 4, , 
2024/5/21, 15, 8, 9, 4, , 
2024/5/22, 12, 6, 13, 4, , 
2024/5/23, 9, 10, 14, 3, , 
2024/5/24, 25, 13, 14, 4, , 
2024/5/25, 25, 10, 12, 3, , 
2024/5/26, 25, 9, 12, 4, , 
2024/5/27, 22, 7, 14, 4, , 
2024/5/28, 18, 10, 15, 4, , 
2024/5/29, 22, 12, 12, 4, , 
2024/5/30, 25, 6, 14, 4, , 
2024/5/31, 13, 4, 13, 4, , 
2024/6/1, 9, 21, 14, 3, , 
2024/6/2, 43, 7, 12, 4, , 
2024/6/3, 12, 10, 11, 3, , 
2024/6/4, 18, 10, 13, 3, , 
2024/6/5, 19, 6, 12, 3, , 
2024/6/6, 10, 5, 13, 3, , 
2024/6/7, 9, 5, 13, 4, , 
2024/6/8, 9, 4, 10, 4, , 
2024/6/9, 8, 7, 10, 4, , 
2024/6/10, 15, 14, 10, 4, , 
2024/6/11, 39, 14, 10, 3, , 
2024/6/12, 22, 11, 10, 3, , 
2024/6/13, 12, 29, 10, 4, , 
2024/6/14, 54, 20, 9, 4, , 
2024/6/15, 47, 14, 10, 4, , 
2024/6/16, 30, 13, 8, 4, , 
2024/6/17, 31, 6, 10, 4, , 
2024/6/18, 14, 4, 9, 5, , 
2024/6/19, 7, 5, 10, 4, , 
2024/6/20, 10, 5, 11, 4, , 
2024/6/21, 11, 3, 13, 4, , 
2024/6/22, 8, 9, 10, 4, , 
2024/6/23, 17, 9, 9, 4, , 
2024/6/24, 14, 9, 9, 4, 2, 
2024/6/25, 14, 5, 10, 4, 3, 
2024/6/26, 7, 7, 9, 4, 3, 
2024/6/27, 11, , , , , 
2024/6/30, 8, 21, 10, 4, , 
2024/1/1, 104, 3, , 5, , 
2024/1/2, 4, 3, , 4, , 
2024/1/3, 6, 3, , 4, , 
2024/1/4, 4, 5, , 7, , 
2024/1/5, 10, 11, , 6, , 
2024/1/6, 21, 5, , 3, , 
2024/1/7, 11, 6, , 4, , 
2024/1/8, 14, 15, , 4, , 
2024/1/9, 36, 14, , 4, , 
2024/1/10, 34, 12, , 4, , 
2024/1/11, 28, 7, , 6, , 
2024/1/12, 13, 6, , 9, , 
2024/1/13, 13, 9, , 5, , 
2024/1/14, 11, 7, , 9, , 
2024/1/15, 11, 10, , 4, , 
2024/1/16, 19, 26, , 11, , 
2024/1/17, 28, 6, , 8, , 
2024/1/18, 8, 4, , 4, , 
2024/1/19, 5, 12, , 7, , 
2024/1/20, 18, 8, , 7, , 
2024/1/21, 14, 6, , 6, , 
2024/1/22, 11, 8, , 8, , 
2024/1/23, 15, 8, , 6, 1, 
2024/1/24, 16, 12, , 4, , 
2024/1/25, 25, 9, , 4, , 
2024/1/26, 15, , , , , 
2024/1/30, 17, 12, , 4, , 
2024/1/31, 22, 14, , 10, , 
2024/2/1, 24, 11, , 4, , 
2024/2/2, 23, 10, , 5, , 
2024/2/3, 20, 7, , 7, , 
2024/2/4, 12, 7, , 10, , 
2024/2/5, 12, 6, , 4, , 
2024/2/6, 12, 11, , 12, , 
2024/2/7, 19, 10, , 12, , 
2024/2/8, 13, 5, , 5, , 
2024/2/9, 7, 4, , 4, , 
2024/2/10, 6, 5, , 5, , 
2024/2/11, 9, 8, , 10, , 
2024/2/12, 13, 6, , 5, , 
2024/2/13, 11, 5, , 8, , 
2024/2/14, 9, 10, , 10, , 
2024/2/15, 22, 4, , 5, , 
2024/2/16, 9, 1, , 3, , 
2024/2/17, 3, 9, , 3, , 
2024/2/18, 20, 7, , 3, , 
2024/2/19, 14, 10, , 7, , 
2024/2/20, 19, 8, , 5, , 
2024/2/21, 15, 5, , 5, , 
2024/2/22, 8, 5, , 7, , 
2024/2/23, 8, 8, , 7, , 
2024/2/24, 9, 16, , 6, , 
2024/2/25, 15, 9, , 6, , 
2024/2/26, 22, 16, , 4, , 
2024/2/27, 32, 19, , 7, , 
2024/2/28, 23, 33, , 8, , 
2024/2/29, 26, 14, , 5, , 
2024/3/1, 14, 15, , 3, , 
2024/3/2, 16, 17, , 4, , 
2024/3/3, 17, 6, , 5, , 
2024/3/4, 9, 5, , 4, , 
2024/3/5, 11, 5, , 3, , 
2024/3/6, 12, 8, , 4, , 
2024/3/7, 16, 15, , 4, , 
2024/3/8, 36, 6, , 3, , 
2024/3/9, 10, 8, , 4, , 
2024/3/10, 10, 31, , 7, , 
2024/3/11, 25, 19, , 8, , 
2024/3/12, 16, 9, , 5, , 
2024/3/13, 8, 9, , 4, , 
2024/3/14, 8, 3, , 3, , 
2024/3/15, 5, 2, , 3, , 
2024/3/16, 3, 2, , 4, , 
2024/3/17, 4, 7, , 4, , 
2024/3/18, 16, 15, , 4, , 
2024/3/19, 31, 6, , 3, , 
2024/3/20, 10, 5, , 4, , 
2024/3/21, 8, 6, , 4, , 
2024/3/22, 10, 9, , 3, , 
2024/3/23, 19, 9, , 3, , 
2024/3/24, 11, 12, , 4, , 
2024/3/25, 11, 10, , 4, , 
2024/3/26, 15, 13, , 5, , 
2024/3/27, 11, 9, , 4, , 
2024/3/28, 8, 10, , 4, , 
2024/3/29, 11, 8, , 3, , 
2024/3/30, 11, 14, , 4, , 
2024/3/31, 18, 8, , 4, , 
2023/10/1, 6, 6, , , , 
2023/10/2, 8, 4, , , , 
2023/10/3, 5, 4, , , , 
2023/10/4, 5, 6, , , , 
2023/10/5, 8, 8, , , , 
2023/10/6, 10, 6, , , , 
2023/10/7, 10, 12, , , , 
2023/10/8, 23, 13, , , , 
2023/10/9, 25, 8, , , , 
2023/10/10, 15, 7, , , , 
2023/10/11, 13, 4, , , , 
2023/10/12, 7, 8, , , , 
2023/10/13, 15, 5, , , , 
2023/10/14, 9, 5, , , , 
2023/10/15, 11, 7, , , , 
2023/10/16, 10, 4, , , , 
2023/10/17, 9, 10, , , , 
2023/10/18, 23, 10, , , , 
2023/10/19, 24, 3, , , , 
2023/10/20, 7, 6, , , , 
2023/10/21, 13, 8, , , , 
2023/10/22, 13, 18, , , , 
2023/10/23, 17, 9, , , , 
2023/10/24, 11, , , , , 
2023/11/7, 9, 57, , 5, , 
2023/11/8, 40, 55, , 13, , 
2023/11/9, 43, 18, , 8, , 
2023/11/10, 16, 6, , 4, , 
2023/11/11, 7, 4, , 3, , 
2023/11/12, 5, 34, , 4, , 
2023/11/13, 24, 10, , 4, , 
2023/11/14, 11, 4, , 5, , 
2023/11/15, 6, 5, , 9, , 
2023/11/16, 7, 3, , 5, , 
2023/11/17, 4, 10, , 7, , 
2023/11/18, 12, 11, , 11, , 
2023/11/19, 16, 4, , 6, , 
2023/11/20, 9, 13, , 4, , 
2023/11/21, 28, 20, , 4, , 
2023/11/22, 42, 11, , 10, , 
2023/11/23, 21, 8, , 4, , 
2023/11/24, 12, 4, , 4, , 
2023/11/25, 7, 6, , 3, , 
2023/11/26, 10, 3, , 4, , 
2023/11/27, 5, 9, , 4, , 
2023/11/28, 16, 9, , 9, , 
2023/11/29, 10, 5, , 7, , 
2023/11/30, 8, 29, , 13, , 
2023/12/1, 26, 27, , 11, , 
2023/12/2, 24, 6, , 4, , 
2023/12/3, 6, 7, , 4, , 
2023/12/4, 7, 7, , 5, , 
2023/12/5, 8, 7, , 4, , 
2023/12/6, 6, 15, , 5, , 
2023/12/7, 13, 32, , 10, , 
2023/12/8, 29, 9, , 15, , 
2023/12/9, 16, 7, , 12, , 
2023/12/10, 15, 8, , 8, , 
2023/12/11, 13, 4, , 7, , 
2023/12/12, 6, 6, , 4, , 
2023/12/13, 13, 16, , 4, , 
2023/12/14, 36, 14, , 4, , 
2023/12/15, 30, 12, , 5, , 
2023/12/16, 23, 8, , 7, , 
2023/12/17, 16, 6, , 10, , 
2023/12/18, 11, 9, , 6, , 
2023/12/19, 16, 8, , 4, , 
2023/12/20, 15, 8, , 4, , 
2023/12/21, 13, 20, , 15, , 
2023/12/22, 20, 5, , 5, , 
2023/12/23, 8, 8, , 3, , 
2023/12/24, 17, 6, , 5, , 
2023/12/25, 14, 4, , 4, , 
2023/12/26, 10, 7, , 14, , 
2023/12/27, 17, 6, , 8, , 
2023/12/28, 12, 11, , 16, , 
2023/12/29, 36, 4, , 8, , 
2023/12/30, 11, 9, , 7, , 
2023/12/31, 21, 107, , 9, 2, 
2023/7/1, 8, 5, , , , 
2023/7/2, 12, 6, , , , 
2023/7/3, 9, 5, , , , 
2023/7/4, 8, 4, , , , 
2023/7/5, 6, 5, , , , 
2023/7/6, 7, 16, , , , 
2023/7/7, 24, 16, , , , 
2023/7/8, 21, 11, , , , 
2023/7/9, 20, 12, , , , 
2023/7/10, 29, 8, , , , 
2023/7/11, 17, 11, , , , 
2023/7/12, 11, 7, , , , 
2023/7/13, 8, 5, , , , 
2023/7/14, 6, 4, , , , 
2023/7/15, 5, 4, , , , 
2023/7/16, 7, 6, , , , 
2023/7/17, 13, 12, , , , 
2023/7/18, 29, 8, , , , 
2023/7/19, 20, 7, , , , 
2023/7/20, 16, 22, , , , 
2023/7/21, 60, 13, , , , 
2023/7/22, 31, 9, , , , 
2023/7/23, 25, 9, , , , 
2023/7/24, 24, 7, , , , 
2023/7/25, 13, 24, , , , 
2023/7/26, 38, 22, , , , 
2023/7/27, 28, 23, , , , 
2023/7/28, 27, 8, , , , 
2023/7/29, 10, 12, , , , 
2023/7/30, 20, 8, , , , 
2023/7/31, 16, 11, , , , 
2023/8/1, 31, 11, , , , 
2023/8/2, 24, 5, , , , 
2023/8/3, 10, 6, , , , 
2023/8/4, 10, 7, , , , 
2023/8/5, 15, 3, , , , 
2023/8/6, 5, 5, , , , 
2023/8/7, 11, 5, , , , 
2023/8/8, 10, 5, , , , 
2023/8/9, 8, 7, , , , 
2023/8/10, 10, 13, , , , 
2023/8/11, 17, 10, , , , 
2023/8/12, 17, 6, , , , 
2023/8/13, 11, 6, , , , 
2023/8/14, 12, 5, , , , 
2023/8/15, 8, 4, , , , 
2023/8/16, 6, 6, , , , 
2023/8/17, 10, 7, , , , 
2023/8/18, 9, 9, , , , 
2023/8/19, 15, 10, , , , 
2023/8/20, 14, 6, , , , 
2023/8/21, 8, 4, , , , 
2023/8/22, 6, 8, , , , 
2023/8/23, 11, 7, , , , 
2023/8/24, 12, 10, , , , 
2023/8/25, 18, 4, , , , 
2023/8/26, 6, 15, , , , 
2023/8/27, 32, 8, , , , 
2023/8/28, 16, 10, , , , 
2023/8/29, 20, 7, , , , 
2023/8/30, 15, 6, , , , 
2023/8/31, 12, 23, , , , 
2023/9/1, 28, 20, , , , 
2023/9/2, 43, 26, , , , 
2023/9/3, 52, 18, , , , 
2023/9/4, 35, 15, , 1, , 
2023/9/5, 30, 5, , 4, , 
2023/9/6, 10, 6, , 16, , 
2023/9/7, 14, 9, , 9, , 
2023/9/8, 20, 4, , 10, 1, 
2023/9/9, 7, 3, , 8, , 
2023/9/10, 4, 5, , 8, , 
2023/9/11, 6, 6, , , , 
2023/9/12, 8, 20, , , , 
2023/9/13, 21, 7, , , , 
2023/9/14, 10, 6, , , , 
2023/9/15, 9, 4, , , , 
2023/9/16, 7, 10, , , , 
2023/9/17, 20, 5, , 20, 1, 
2023/9/18, 10, 4, , 11, 1, 
2023/9/19, 6, 7, , 14, 1, 
2023/9/20, 9, 8, , 17, , 
2023/9/21, 8, 6, , 11, , 
2023/9/22, 7, 2, , 5, , 
2023/9/23, 4, 6, , 5, , 
2023/9/24, 8, 3, , , , 
2023/9/25, 4, 2, , , , 
2023/9/26, 2, 4, , , , 
2023/9/27, 7, 3, , , , 
2023/9/28, 4, 6, , , , 
2023/9/29, 7, 2, , , , 
2023/9/30, 4, 3, , , , 
2023/4/1, 6, 2, , , , 
2023/4/2, 5, 2, , , , 
2023/4/3, 1, 1, , , , 
2023/4/4, 4, 1, , , , 
2023/4/5, 2, 1, , , , 
2023/4/6, 4, 3, , , , 
2023/4/7, 11, 7, , , , 
2023/4/8, 24, 2, , , , 
2023/4/9, 7, 1, , , , 
2023/4/10, 3, 1, , , , 
2023/4/11, 2, 1, , , , 
2023/4/12, 3, 1, , , , 
2023/4/13, 3, 1, , , , 
2023/4/14, 2, 6, , , , 
2023/4/15, 10, 4, , , , 
2023/4/16, 9, 3, , , , 
2023/4/17, 12, 5, , , , 
2023/4/18, 16, 2, , , , 
2023/4/19, 5, 4, , , , 
2023/4/20, 16, 2, , , , 
2023/4/21, 8, 1, , , , 
2023/4/22, 2, 1, , , , 
2023/4/23, 2, 2, , , , 
2023/4/24, 5, 2, , , , 
2023/4/25, 5, 1, , , , 
2023/4/26, 4, 1, , , , 
2023/4/27, 3, 1, , , , 
2023/4/28, 3, 2, , , , 
2023/4/29, 6, 2, , , , 
2023/4/30, 6, 1, , , , 
2023/5/1, 5, 4, , , , 
2023/5/2, 10, 10, , , , 
2023/5/3, 19, 3, , , , 
2023/5/4, 7, 2, , , , 
2023/5/5, 8, 3, , , , 
2023/5/6, 9, 1, , , , 
2023/5/7, 1, 1, , , , 
2023/5/8, 2, 3, , , , 
2023/5/9, 5, 6, , , , 
2023/5/10, 16, 6, , , , 
2023/5/11, 12, 5, , , , 
2023/5/12, 13, 6, , , , 
2023/5/13, 12, 4, , , , 
2023/5/14, 8, 3, , , , 
2023/5/15, 6, 4, , , , 
2023/5/16, 7, 8, , , , 
2023/5/17, 18, 3, , , , 
2023/5/18, 8, 12, , , , 
2023/5/19, 27, 16, , , , 
2023/5/20, 38, 11, , , , 
2023/5/21, 27, 13, , , , 
2023/5/22, 28, 15, , , , 
2023/5/23, 35, 27, , , , 
2023/5/24, 57, 27, , , , 
2023/5/25, 57, 8, , , , 
2023/5/26, 19, 10, , , , 
2023/5/27, 23, 10, , , , 
2023/5/28, 25, 7, , , , 
2023/5/29, 20, 10, , , , 
2023/5/30, 20, 6, , 13, 2, 
2023/5/31, 12, 6, , 10, 3, 
2023/6/1, 17, 9, , 11, 2, 
2023/6/2, 28, 8, , 8, 2, 
2023/6/3, 23, 6, , 5, 2, 
2023/6/4, 17, 9, , 11, 2, 
2023/6/5, 18, 4, , 9, 2, 
2023/6/6, 7, 3, , , , 
2023/6/7, 6, 4, , , , 
2023/6/8, 11, 9, , , , 
2023/6/9, 22, 8, , , , 
2023/6/10, 14, 13, , , , 
2023/6/11, 30, 10, , , , 
2023/6/12, 24, 7, , , , 
2023/6/13, 18, 7, , , , 
2023/6/14, 16, 8, , , , 
2023/6/15, 19, 9, , , , 
2023/6/16, 31, 7, , , , 
2023/6/17, 22, 8, , , , 
2023/6/18, 27, 5, , , , 
2023/6/19, 17, 6, , , , 
2023/6/20, 15, 4, , , , 
2023/6/21, 6, 9, , , , 
2023/6/22, 16, 2, , , , 
2023/6/23, 7, 22, , , , 
2023/6/24, 29, 4, , , , 
2023/6/25, 10, 4, , , , 
2023/6/26, 10, 22, , , , 
2023/6/27, 20, 8, , , , 
2023/6/28, 16, 11, , , , 
2023/6/29, 21, 8, , , , 
2023/6/30, 16, 4, , , , 
2023/2/8, 18, 12, , , , 
2023/2/9, 14, 8, , , , 
2023/2/10, 38, 17, , , , 
2023/2/11, 42, 17, , , , 
2023/2/12, 27, 11, , , , 
2023/2/13, 44, 16, , , , 
2023/2/14, 25, 11, , , , 
2023/2/15, 7, 3, , , , 
2023/2/16, 15, 8, , , , 
2023/2/17, 8, 4, , , , 
2023/2/18, 7, 3, , , , 
2023/2/19, 1, 1, , , , 
2023/2/20, 1, 1, , , , 
2023/2/21, 1, 1, , , , 
2023/2/22, 1, 1, , , , 
2023/2/23, 2, 1, , , , 
2023/2/24, 1, 1, , , , 
2023/2/25, 1, 1, , , , 
2023/2/27, 6, 2, , , , 
2023/3/29, 1, 1, , , , 
2023/3/30, 20, 7, , , , 
2023/3/31, 2, 1, , , , 
2020/10/1, 10, 6, , 2, , 
2020/10/2, 9, 7, , 5, , 
2020/10/3, 8, 6, , 2, , 
2020/10/4, 9, 8, , 5, , 
2020/10/5, 9, 5, , 5, , 
2020/10/6, 8, 4, , 3, , 
2020/10/7, 7, 5, , 2, , 
2020/10/8, 7, 6, , , , 
2020/10/9, 9, 10, , 6, , 
2020/10/10, 13, 16, , , , 
2020/10/11, 20, 11, , 1, , 
2020/10/12, 19, 4, , 1, , 
2020/10/13, 6, 6, , , , 
2020/10/14, 11, 9, , 1, , 
2020/10/15, 14, 10, , 3, , 
2020/10/16, 15, 7, , 3, , 
2020/10/17, 10, 9, , , , 
2020/10/18, 17, 6, , 6, , 
2020/10/19, 10, 12, , 8, , 
2020/10/20, 11, 4, , 2, , 
2020/10/21, 6, 3, , , , 
2020/10/22, 3, 17, , , , 
2020/10/23, 15, 5, , , , 
2020/10/24, 7, 11, , 2, , 
2020/10/25, 13, 6, , 4, , 
2020/10/26, 6, 15, , , , 
2020/10/27, 14, 40, , , , 
2020/10/28, 33, 33, , , , 
2020/10/29, 26, 4, , 1, , 
2020/10/30, 8, 6, , 2, , 
2020/10/31, 14, 4, , 1, , 
2020/11/1, 7, 5, , 1, , 
2020/11/2, 9, 12, , 2, , 
2020/11/3, 22, 18, , 1, 1, 
2020/11/4, 33, 33, , , , 
2020/11/5, 44, 15, , 1, , 
2020/11/6, 29, 11, , , , 
2020/11/7, 22, 9, , 1, , 
2020/11/8, 21, 4, , 1, , 
2020/11/9, 6, 7, , 5, , 
2020/11/10, 15, 3, , 6, , 
2020/11/11, 10, 3, , , , 
2020/11/12, 5, 4, , 3, , 
2020/11/13, 8, 5, , 9, , 
2020/11/14, 7, 3, , 1, , 
2020/11/15, 3, 7, , 4, , 
2020/11/16, 12, 14, , 6, , 
2020/11/17, 32, 36, , 15, , 
2020/11/18, 36, 12, , 6, , 
2020/11/19, 13, 6, , 1, , 
2020/11/20, 13, 5, , 6, , 
2020/11/21, 12, 3, , 6, , 
2020/11/22, 8, 5, , 12, , 
2020/11/23, 5, 6, , 15, , 
2020/11/24, 13, 4, , 6, , 
2020/11/25, 14, 14, , 1, , 
2020/11/26, 32, 14, , 1, , 
2020/11/27, 31, 12, , 4, , 
2020/11/28, 19, 5, , 1, , 
2020/11/29, 14, 6, , 4, , 
2020/11/30, 16, 14, , , , 
2020/12/1, 31, 10, , , , 
2020/12/2, 32, 13, , , , 
2020/12/3, 32, 10, , 1, , 
2020/8/3, 11, 10, , 1, , 
2020/8/4, 14, 6, , , , 
2020/8/5, 9, 9, , , , 
2020/8/6, 10, 11, , , , 
2020/8/7, 12, 9, , , , 
2020/8/8, 9, 7, , , , 
2020/8/9, 4, 6, , 1, , 
2020/8/10, 4, 5, , 1, , 
2020/8/11, 6, 8, , 1, , 
2020/8/12, 13, 14, , 1, , 
2020/8/13, 12, 11, , 1, , 
2020/8/14, 19, 11, , , , 
2020/8/15, 5, 47, , , , 
2020/8/16, 11, 9, , 2, , 
2020/8/17, 15, 15, , 2, , 
2020/8/18, 29, 11, , 1, , 
2020/8/19, 16, 8, , 1, , 
2020/8/20, 11, 9, , 1, , 
2020/8/21, 11, 9, , 1, , 
2020/8/22, 11, 8, , 2, , 
2020/8/23, 11, 8, , 3, , 
2020/8/24, 12, 8, , 2, , 
2020/8/25, 15, 5, , 1, , 
2020/8/26, 7, 10, , , , 
2020/8/27, 9, 19, , 1, , 
2020/8/28, 12, 18, , , , 
2020/8/29, 14, 10, , , , 
2020/8/30, 5, 10, , 1, , 
2020/8/31, 11, 11, , 2, , 
2020/9/1, 11, 4, , 2, , 
2020/9/2, 6, 5, , , , 
2020/9/3, 8, 9, , , , 
2020/9/4, 13, 7, , 2, , 
2020/9/5, 7, 5, , , 1, 
2020/9/6, 3, 8, , 1, , 
2020/9/7, 11, 4, , 2, , 
2020/9/8, 4, 8, , 3, , 
2020/9/9, 11, 7, , 1, , 
